Local_ID,Node_ID,OSM_ID,Longitude,Latitude,Degree,Node_Type,Neighbor_Count,lighting,elevation,greenery,crime,Connected_Local_IDs,Connected_Node_IDs
0,21288399,21288399,-3.513072,50.710804,6,6-way Junction,3,0.37,0.71,0.22,0.6,"611, 352, 613","259572496, 64672647, 259572570"
1,21288403,21288403,-3.511056,50.722296,8,Complex,4,0.95,0.2,0.65,0,"953, 32, 269, 413","469235261, 21761687, 59742827, 151026184"
2,21288407,21288407,-3.535938,50.718241,3,3-way Junction,1,0.73,0.89,0.11,0,35,24678140
3,21715720,21715720,-3.538084,50.70919,3,3-way Junction,2,0.6,0.29,0.01,0.3,"1281, 22","5782086699, 21761312"
4,21760988,21760988,-3.536166,50.710516,6,6-way Junction,3,0.16,0.37,0.24,0.65,"21, 853, 7","21761311, 288326445, 21761008"
5,21760991,21760991,-3.546942,50.71049,6,6-way Junction,3,0.16,0.06,0.42,0.12,"11, 6, 9","21761047, 21760997, 21761026"
6,21760997,21760997,-3.547751,50.709753,6,6-way Junction,3,0.06,0.11,0.83,0.55,"680, 36, 5","263714137, 26448755, 21760991"
7,21761008,21761008,-3.535516,50.710929,8,Complex,4,0.87,0.52,0.73,0.06,"855, 4, 15, 856","288327209, 21760988, 21761075, 288327242"
8,21761021,21761021,-3.546136,50.709423,6,6-way Junction,2,0.6,0.27,0.72,0.72,"11, 12","21761047, 21761053"
9,21761026,21761026,-3.546465,50.712226,5,5-way Junction,3,0.71,0.84,0.46,0.75,"13, 5, 745","21761058, 21760991, 266651470"
10,21761032,21761032,-3.532872,50.71067,2,Through,1,0.02,0.01,0.3,0.26,15,21761075
11,21761047,21761047,-3.54582,50.709696,6,6-way Junction,2,0.97,0.38,0.36,0.05,"8, 5","21761021, 21760991"
12,21761053,21761053,-3.546474,50.709619,2,Through,1,0.83,0.34,0.97,0.19,8,21761021
13,21761058,21761058,-3.545197,50.712404,5,5-way Junction,2,0.21,0.02,0,0.2,"1231, 14","3679516379, 21761065"
14,21761065,21761065,-3.54511,50.711992,2,Through,1,0.18,0.12,0.83,0.56,13,21761058
15,21761075,21761075,-3.534324,50.710515,6,6-way Junction,3,0.18,0.41,0.57,0.74,"10, 7, 1124","21761032, 21761008, 1986825751"
16,21761092,21761092,-3.536843,50.71763,3,3-way Junction,1,0.3,0.49,0.44,0.58,17,21761094
17,21761094,21761094,-3.537705,50.717846,3,3-way Junction,2,0.52,0.4,0.72,0.67,"1148, 18","2109602193, 21761095"
18,21761095,21761095,-3.538113,50.718031,3,3-way Junction,1,0.43,0.53,0.49,0.28,942,420555280
19,21761099,21761099,-3.536987,50.718869,3,3-way Junction,1,0.29,0.6,0.88,0.03,2,21288407
20,21761242,21761242,-3.547501,50.714857,8,Complex,4,0.61,0.01,0.85,0.56,"1229, 1230, 694, 280","3679516332, 3679516333, 263717406, 59817965"
21,21761311,21761311,-3.537676,50.711303,6,6-way Junction,3,0.14,0.46,0.42,0.3,"4, 769, 852","21760988, 270998709, 288326404"
22,21761312,21761312,-3.538137,50.70945,6,6-way Junction,3,0.29,0.96,0.32,0.6,"23, 3, 767","21761313, 21715720, 270997533"
23,21761313,21761313,-3.538772,50.709476,2,Through,1,0.37,0.52,0.59,0.16,22,21761312
24,21761497,21761497,-3.536861,50.719546,4,4-way Junction,2,0.46,0.68,0.93,0,"25, 375","21761498, 90484510"
25,21761498,21761498,-3.535776,50.719558,3,3-way Junction,2,0.79,0.31,0.19,0.85,"183, 184","41423975, 41424009"
26,21761502,21761502,-3.533024,50.719619,6,6-way Junction,3,0.2,0.77,0.65,0.06,"377, 204, 1044","90488302, 41430533, 1295844640"
27,21761513,21761513,-3.529419,50.719905,4,4-way Junction,2,0.51,0.77,0.66,0.85,"1053, 407","1446477412, 151023296"
28,21761609,21761609,-3.522206,50.725268,3,3-way Junction,2,0.59,0.52,0.74,0.82,"419, 1286","174022412, 5784256589"
29,21761614,21761614,-3.523003,50.72532,3,3-way Junction,1,0.05,0.98,0.18,0.77,984,563661380
30,21761636,21761636,-3.523353,50.725198,4,4-way Junction,2,0.61,0.13,0.68,0.5,"29, 882","21761614, 292915464"
31,21761686,21761686,-3.508812,50.721817,3,3-way Junction,1,0.17,0.02,0.86,0.46,953,469235261
32,21761687,21761687,-3.513665,50.722946,6,6-way Junction,3,0.07,0.77,0.21,0.84,"231, 1316, 1","54169357, 10542140863, 21288403"
33,21761689,21761689,-3.516527,50.723639,6,6-way Junction,3,0.95,0.81,0.27,0.12,"447, 97, 1316","208485314, 36664805, 10542140863"
34,21761693,21761693,-3.523108,50.727661,7,Complex,4,0.97,0.12,0.93,0.23,"53, 971, 879, 120","34699810, 497694168, 292265711, 36670551"
35,24678140,24678140,-3.53639,50.717694,3,3-way Junction,2,0.81,0.27,0.16,0.48,"1209, 16","3079785617, 21761092"
36,26448755,26448755,-3.547855,50.711549,6,6-way Junction,3,0.3,0.02,0.81,0.28,"685, 6, 745","263714201, 21760997, 266651470"
37,26448760,26448760,-3.550586,50.713283,6,6-way Junction,3,0.1,0.29,0.47,0.36,"1235, 751, 669","3738092213, 269996044, 262899879"
38,26448777,26448777,-3.546016,50.720196,6,6-way Junction,3,0.68,0.77,0.27,0.2,"722, 719, 797","265326790, 265326769, 279797904"
39,26448778,26448778,-3.543928,50.719853,6,6-way Junction,3,0.44,0.52,0.87,0.41,"792, 719, 492","279797881, 265326769, 208610132"
40,26448782,26448782,-3.541471,50.719539,6,6-way Junction,3,0.12,0.35,0.43,0.79,"927, 493, 405","364837004, 208620227, 149521149"
41,26448848,26448848,-3.538085,50.718403,3,3-way Junction,1,0.5,0.37,0.5,0.08,931,364857096
